experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
ablation,32,0,0,23460524,20580524,LNS,full,300.000000,300.107100,10669.000000,932,9737,4.669871
ablation,32,0,0,23460524,20580524,LNS,no_regret,300.000000,300.123100,10213.000000,916,9297,0.196213
ablation,32,0,0,23460524,20580524,LNS,no_adaptive_weight,300.000000,300.172400,10587.000000,940,9647,3.865398
ablation,32,0,0,23460524,20580524,LNS,no_local_search,300.000000,300.142500,11610.000000,984,10626,13.901697
ablation,32,0,0,23460524,20580524,LNS,no_probability_acceptance,300.000000,300.103600,10703.000000,942,9761,5.003434
ablation,32,0,0,23460524,20580524,LNS,destroy_ratio_0.15,300.000000,300.108900,10193.000000,926,9267,0.000000
ablation,32,0,0,23460524,20580524,LNS,destroy_ratio_0.45,300.000000,300.052200,11232.000000,972,10260,10.193270
ablation,32,0,1,23460524,20581533,LNS,full,300.000000,300.155500,10667.000000,930,9737,0.784203
ablation,32,0,1,23460524,20581533,LNS,no_regret,300.000000,300.402700,10584.000000,918,9666,0.000000
ablation,32,0,1,23460524,20581533,LNS,no_adaptive_weight,300.000000,300.177100,10605.000000,934,9671,0.198413
ablation,32,0,1,23460524,20581533,LNS,no_local_search,300.000000,300.155100,11345.000000,944,10401,7.190098
ablation,32,0,1,23460524,20581533,LNS,no_probability_acceptance,300.000000,300.348200,10616.000000,944,9672,0.302343
ablation,32,0,1,23460524,20581533,LNS,destroy_ratio_0.15,300.000000,300.062100,10681.000000,924,9757,0.916478
ablation,32,0,1,23460524,20581533,LNS,destroy_ratio_0.45,300.000000,300.459500,11091.000000,946,10145,4.790249
ablation,32,0,2,23460524,20582542,LNS,full,300.000000,300.208900,10417.000000,926,9491,2.197587
ablation,32,0,2,23460524,20582542,LNS,no_regret,300.000000,300.232900,10721.000000,934,9787,5.180026
ablation,32,0,2,23460524,20582542,LNS,no_adaptive_weight,300.000000,300.082900,10661.000000,940,9721,4.591386
ablation,32,0,2,23460524,20582542,LNS,no_local_search,300.000000,300.180900,11381.000000,952,10429,11.655057
ablation,32,0,2,23460524,20582542,LNS,no_probability_acceptance,300.000000,300.383200,10923.000000,940,9983,7.161778
ablation,32,0,2,23460524,20582542,LNS,destroy_ratio_0.15,300.000000,300.118800,10193.000000,926,9267,0.000000
ablation,32,0,2,23460524,20582542,LNS,destroy_ratio_0.45,300.000000,300.816700,10773.000000,956,9817,5.690180
ablation,32,1,0,23460621,20580625,LNS,full,300.000000,300.133800,13090.000000,1218,11872,0.398834
ablation,32,1,0,23460621,20580625,LNS,no_regret,300.000000,300.126300,13038.000000,1212,11826,0.000000
ablation,32,1,0,23460621,20580625,LNS,no_adaptive_weight,300.000000,300.102900,13104.000000,1206,11898,0.506213
ablation,32,1,0,23460621,20580625,LNS,no_local_search,300.000000,300.191500,13990.000000,1234,12756,7.301733
ablation,32,1,0,23460621,20580625,LNS,no_probability_acceptance,300.000000,300.046700,13191.000000,1208,11983,1.173493
ablation,32,1,0,23460621,20580625,LNS,destroy_ratio_0.15,300.000000,300.112100,13064.000000,1204,11860,0.199417
ablation,32,1,0,23460621,20580625,LNS,destroy_ratio_0.45,300.000000,300.370600,13146.000000,1214,11932,0.828348
ablation,32,1,1,23460621,20581634,LNS,full,300.000000,300.136900,13106.000000,1206,11900,0.444513
ablation,32,1,1,23460621,20581634,LNS,no_regret,300.000000,300.165300,13064.000000,1204,11860,0.122624
ablation,32,1,1,23460621,20581634,LNS,no_adaptive_weight,300.000000,300.120900,13172.000000,1216,11956,0.950337
ablation,32,1,1,23460621,20581634,LNS,no_local_search,300.000000,300.174800,14382.000000,1274,13108,10.223789
ablation,32,1,1,23460621,20581634,LNS,no_probability_acceptance,300.000000,300.227300,13135.000000,1214,11921,0.666769
ablation,32,1,1,23460621,20581634,LNS,destroy_ratio_0.15,300.000000,300.059400,13048.000000,1214,11834,0.000000
ablation,32,1,1,23460621,20581634,LNS,destroy_ratio_0.45,300.000000,300.086100,13323.000000,1226,12097,2.107603
ablation,32,1,2,23460621,20582643,LNS,full,300.000000,300.168400,13098.000000,1204,11894,0.367816
ablation,32,1,2,23460621,20582643,LNS,no_regret,300.000000,300.093600,13050.000000,1214,11836,0.000000
ablation,32,1,2,23460621,20582643,LNS,no_adaptive_weight,300.000000,300.167100,13221.000000,1220,12001,1.310345
ablation,32,1,2,23460621,20582643,LNS,no_local_search,300.000000,300.119400,14404.000000,1258,13146,10.375479
ablation,32,1,2,23460621,20582643,LNS,no_probability_acceptance,300.000000,300.083700,13173.000000,1220,11953,0.942529
ablation,32,1,2,23460621,20582643,LNS,destroy_ratio_0.15,300.000000,300.071300,13064.000000,1204,11860,0.107280
ablation,32,1,2,23460621,20582643,LNS,destroy_ratio_0.45,300.000000,300.371300,13397.000000,1216,12181,2.659004
ablation,32,2,0,23460718,20580726,LNS,full,300.000000,300.118800,14621.000000,1304,13317,0.000000
ablation,32,2,0,23460718,20580726,LNS,no_regret,300.000000,300.125900,14623.000000,1304,13319,0.013679
ablation,32,2,0,23460718,20580726,LNS,no_adaptive_weight,300.000000,300.220400,15299.000000,1328,13971,4.637166
ablation,32,2,0,23460718,20580726,LNS,no_local_search,300.000000,300.185800,15721.000000,1338,14383,7.523425
ablation,32,2,0,23460718,20580726,LNS,no_probability_acceptance,300.000000,300.151900,14659.000000,1302,13357,0.259900
ablation,32,2,0,23460718,20580726,LNS,destroy_ratio_0.15,300.000000,300.042900,14945.000000,1312,13633,2.215991
ablation,32,2,0,23460718,20580726,LNS,destroy_ratio_0.45,300.000000,300.306800,15982.000000,1388,14594,9.308529
ablation,32,2,1,23460718,20581735,LNS,full,300.000000,300.042700,14659.000000,1302,13357,0.314788
ablation,32,2,1,23460718,20581735,LNS,no_regret,300.000000,300.685100,14613.000000,1304,13309,0.000000
ablation,32,2,1,23460718,20581735,LNS,no_adaptive_weight,300.000000,300.266500,14679.000000,1310,13369,0.451653
ablation,32,2,1,23460718,20581735,LNS,no_local_search,300.000000,300.346600,15721.000000,1348,14373,7.582290
ablation,32,2,1,23460718,20581735,LNS,no_probability_acceptance,300.000000,300.024300,14711.000000,1308,13403,0.670636
ablation,32,2,1,23460718,20581735,LNS,destroy_ratio_0.15,300.000000,300.039400,14613.000000,1302,13311,0.000000
ablation,32,2,1,23460718,20581735,LNS,destroy_ratio_0.45,300.000000,300.189400,15409.000000,1330,14079,5.447205
ablation,32,2,2,23460718,20582744,LNS,full,300.000000,300.170100,14639.000000,1310,13329,0.177924
ablation,32,2,2,23460718,20582744,LNS,no_regret,300.000000,300.234700,14627.000000,1304,13323,0.095805
