experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
budget,16,0,0,21860524,20420524,LocalSearch,full,300.000000,300.004800,2537.000000,440,2097,4.188912
budget,16,0,0,21860524,20420524,SA,full,300.000000,300.001700,2435.000000,446,1989,0.000000
budget,16,0,0,21860524,20420524,LNS,full,300.000000,300.014900,2435.000000,446,1989,0.000000
budget,16,0,1,21860524,20421533,LocalSearch,full,300.000000,300.001400,2559.000000,456,2103,5.092402
budget,16,0,1,21860524,20421533,SA,full,300.000000,300.001700,2435.000000,446,1989,0.000000
budget,16,0,1,21860524,20421533,LNS,full,300.000000,300.023900,2435.000000,446,1989,0.000000
budget,16,0,2,21860524,20422542,LocalSearch,full,300.000000,300.001500,2537.000000,440,2097,4.188912
budget,16,0,2,21860524,20422542,SA,full,300.000000,300.001700,2435.000000,446,1989,0.000000
budget,16,0,2,21860524,20422542,LNS,full,300.000000,300.016800,2435.000000,446,1989,0.000000
budget,16,1,0,21860621,20420625,LocalSearch,full,300.000000,300.001400,4914.000000,770,4144,0.000000
budget,16,1,0,21860621,20420625,SA,full,300.000000,300.001700,4914.000000,770,4144,0.000000
budget,16,1,0,21860621,20420625,LNS,full,300.000000,300.013300,4914.000000,770,4144,0.000000
budget,16,1,1,21860621,20421634,LocalSearch,full,300.000000,300.001600,4914.000000,770,4144,0.000000
budget,16,1,1,21860621,20421634,SA,full,300.000000,300.001600,4914.000000,770,4144,0.000000
budget,16,1,1,21860621,20421634,LNS,full,300.000000,300.026400,4914.000000,770,4144,0.000000
budget,16,1,2,21860621,20422643,LocalSearch,full,300.000000,300.001400,4914.000000,770,4144,0.000000
budget,16,1,2,21860621,20422643,SA,full,300.000000,300.001800,4914.000000,770,4144,0.000000
budget,16,1,2,21860621,20422643,LNS,full,300.000000,300.032900,4914.000000,770,4144,0.000000
budget,16,2,0,21860718,20420726,LocalSearch,full,300.000000,300.001700,3477.000000,588,2889,0.000000
budget,16,2,0,21860718,20420726,SA,full,300.000000,300.001500,3477.000000,588,2889,0.000000
budget,16,2,0,21860718,20420726,LNS,full,300.000000,300.038800,3477.000000,588,2889,0.000000
budget,16,2,1,21860718,20421735,LocalSearch,full,300.000000,300.001300,3477.000000,588,2889,0.000000
budget,16,2,1,21860718,20421735,SA,full,300.000000,300.001600,3477.000000,588,2889,0.000000
budget,16,2,1,21860718,20421735,LNS,full,300.000000,300.012800,3477.000000,588,2889,0.000000
budget,16,2,2,21860718,20422744,LocalSearch,full,300.000000,300.001400,3477.000000,588,2889,0.000000
budget,16,2,2,21860718,20422744,SA,full,300.000000,300.001500,3477.000000,588,2889,0.000000
budget,16,2,2,21860718,20422744,LNS,full,300.000000,300.010800,3477.000000,588,2889,0.000000
budget,16,3,0,21860815,20420827,LocalSearch,full,300.000000,300.001600,2965.000000,524,2441,0.000000
budget,16,3,0,21860815,20420827,SA,full,300.000000,300.002000,2965.000000,524,2441,0.000000
budget,16,3,0,21860815,20420827,LNS,full,300.000000,300.025000,2965.000000,524,2441,0.000000
budget,16,3,1,21860815,20421836,LocalSearch,full,300.000000,300.001400,2965.000000,524,2441,0.000000
budget,16,3,1,21860815,20421836,SA,full,300.000000,300.001400,2965.000000,524,2441,0.000000
budget,16,3,1,21860815,20421836,LNS,full,300.000000,300.025800,2965.000000,524,2441,0.000000
budget,16,3,2,21860815,20422845,LocalSearch,full,300.000000,300.001500,3064.000000,534,2530,3.338954
