实例编号,目标数,宽松系数,惩罚系数,匹配EDD目标值,局部搜索目标值,模拟退火目标值,LNS目标值,LNS相对模拟退火提升百分比,LNS相对局部搜索提升百分比,LNS相对匹配EDD提升百分比
0,32,1.6000,1.0000,14183.0000,13624.0000,14284.6667,12955.0000,9.3083,4.9105,8.6583
1,32,1.6000,1.0000,10974.0000,10970.6667,11508.0000,10190.0000,11.4529,7.1159,7.1442
2,32,1.6000,1.0000,11694.0000,11726.0000,12160.3333,10694.3333,12.0556,8.7981,8.5485
3,32,1.6000,1.0000,13404.0000,13888.3333,14334.6667,12842.0000,10.4130,7.5339,4.1928
4,32,1.6000,1.0000,15802.0000,15483.3333,16063.6667,14864.6667,7.4640,3.9957,5.9317
5,32,1.6000,1.0000,12326.0000,11383.0000,12022.3333,10536.3333,12.3603,7.4380,14.5194
6,32,1.6000,1.0000,14712.0000,14806.6667,15613.6667,14386.0000,7.8628,2.8411,2.2159
7,32,1.6000,1.0000,12644.0000,11544.0000,12475.0000,11244.6667,9.8624,2.5930,11.0672
8,32,1.6000,1.0000,11735.0000,12439.6667,12348.0000,11377.0000,7.8636,8.5426,3.0507
9,32,1.6000,1.0000,11462.0000,12116.0000,13415.6667,11286.0000,15.8745,6.8504,1.5355
10,32,1.6000,1.0000,13708.0000,13993.3333,14494.3333,13264.0000,8.4884,5.2120,3.2390
11,32,1.6000,1.0000,11347.0000,11767.3333,12261.6667,10958.6667,10.6266,6.8721,3.4223
12,32,1.6000,1.0000,11170.0000,11844.3333,12208.0000,10714.0000,12.2379,9.5432,4.0824
13,32,1.6000,1.0000,10314.0000,10525.3333,10817.6667,9658.6667,10.7140,8.2341,6.3538
14,32,1.6000,1.0000,12317.0000,12556.0000,12888.3333,11634.3333,9.7297,7.3404,5.5425
15,32,1.6000,1.0000,9443.0000,10234.0000,10417.6667,9003.0000,13.5795,12.0285,4.6595
16,32,1.6000,1.0000,12493.0000,12561.3333,13264.0000,11995.3333,9.5647,4.5059,3.9836
17,32,1.6000,1.0000,15216.0000,13803.3333,14757.3333,13251.6667,10.2028,3.9966,12.9097
18,32,1.6000,1.0000,9204.0000,9115.3333,10165.0000,8544.0000,15.9469,6.2678,7.1708
19,32,1.6000,1.0000,8907.0000,9041.3333,9509.0000,7974.3333,16.1391,11.8014,10.4712
